<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.02.25	12:00:00	51.35	51.75	51.09	51.41	3439	0	3
2020.02.25	16:00:00	51.42	51.51	50.40	50.58	5730	0	3
2020.02.25	20:00:00	50.57	50.65	49.74	50.10	3615	0	3
2020.02.26	00:00:00	50.12	50.42	50.02	50.31	1663	0	3
2020.02.26	04:00:00	50.30	50.44	50.19	50.23	1283	0	5
2020.02.26	08:00:00	50.23	50.23	49.02	49.22	4261	0	3
2020.02.26	12:00:00	49.23	49.62	49.04	49.40	4651	0	3
2020.02.26	16:00:00	49.40	50.46	49.31	49.36	6833	0	3
2020.02.26	20:00:00	49.37	49.50	48.27	48.71	5008	0	3
2020.02.27	00:00:00	48.71	48.76	47.92	47.95	2644	0	3
2020.02.27	04:00:00	47.95	48.19	47.86	48.08	2001	0	3
2020.02.27	08:00:00	48.08	48.41	47.85	47.94	3103	0	3
2020.02.27	12:00:00	47.95	47.99	46.79	46.99	3345	0	3
2020.02.27	16:00:00	46.98	47.79	45.94	47.37	8735	0	3
2020.02.27	20:00:00	47.36	47.55	46.21	46.29	6228	0	3
2020.02.28	00:00:00	46.42	47.07	46.12	46.54	3032	0	3
2020.02.28	04:00:00	46.53	46.63	45.59	45.65	3332	0	3
2020.02.28	08:00:00	45.65	46.09	45.01	45.32	6535	0	3
2020.02.28	12:00:00	45.33	46.08	45.10	45.55	6998	0	3
2020.02.28	16:00:00	45.53	45.62	43.92	44.99	10409	0	3
2020.02.28	20:00:00	45.00	45.43	44.41	45.34	6022	0	3
2020.03.02	00:00:00	43.65	45.66	43.56	45.19	4130	0	3
2020.03.02	04:00:00	45.19	46.47	45.16	46.24	3962	0	3
2020.03.02	08:00:00	46.24	46.76	45.69	45.78	5503	0	3
2020.03.02	12:00:00	45.77	46.10	44.92	46.07	6780	0	3
2020.03.02	16:00:00	46.07	47.30	45.62	47.11	9439	0	3
2020.03.02	20:00:00	47.12	47.51	46.55	47.51	4123	0	3
2020.03.03	00:00:00	47.51	48.58	47.51	48.14	2325	0	3
2020.03.03	04:00:00	48.13	48.23	47.61	47.61	2625	0	8
2020.03.03	08:00:00	47.59	48.46	47.35	48.42	4948	0	3
2020.03.03	12:00:00	48.42	48.71	47.49	47.94	6083	0	3
2020.03.03	16:00:00	47.92	48.68	46.84	47.37	10792	0	3
2020.03.03	20:00:00	47.35	47.59	46.55	47.13	5899	0	3
2020.03.04	00:00:00	47.02	48.08	46.83	47.85	2546	0	4
2020.03.04	04:00:00	47.84	48.20	47.68	47.97	1917	0	3
2020.03.04	08:00:00	47.97	48.00	47.16	47.62	3246	0	3
2020.03.04	12:00:00	47.61	48.30	47.45	48.07	4368	0	3
2020.03.04	16:00:00	48.06	48.47	46.72	47.40	7816	0	3
2020.03.04	20:00:00	47.41	47.59	46.77	47.28	3111	0	3
2020.03.05	00:00:00	47.28	47.63	47.23	47.54	972	0	3
2020.03.05	04:00:00	47.54	47.60	47.32	47.54	1281	0	3
2020.03.05	08:00:00	47.54	47.56	46.71	46.72	2621	0	3
2020.03.05	12:00:00	46.73	47.51	46.41	46.53	5499	0	3
2020.03.05	16:00:00	46.53	47.15	46.16	46.29	6650	0	3
2020.03.05	20:00:00	46.29	46.48	45.71	46.09	3146	0	3
2020.03.06	00:00:00	46.09	46.43	45.79	45.83	1488	0	3
2020.03.06	04:00:00	45.83	45.88	45.31	45.51	1970	0	3
2020.03.06	08:00:00	45.52	45.70	44.86	44.87	3407	0	3
2020.03.06	12:00:00	44.86	44.99	43.32	43.83	7774	0	3
2020.03.06	16:00:00	43.84	44.65	41.92	42.39	10053	0	3
2020.03.06	20:00:00	42.39	42.48	41.17	41.64	4447	0	3
2020.03.09	00:00:00	33.33	33.84	30.45	30.99	3140	0	3
2020.03.09	04:00:00	30.98	31.22	27.54	29.86	4677	0	3
2020.03.09	08:00:00	29.86	33.85	29.29	33.60	4896	0	3
2020.03.09	12:00:00	33.60	33.67	31.51	33.39	9030	0	3
2020.03.09	16:00:00	33.38	35.01	32.54	32.65	11778	0	3
2020.03.09	20:00:00	32.65	32.72	30.65	31.25	4990	0	3
2020.03.10	00:00:00	30.66	33.42	30.39	32.92	4828	0	3
2020.03.10	04:00:00	32.92	33.96	32.79	33.95	2999	0	3
2020.03.10	08:00:00	33.94	33.95	32.08	33.70	7082	0	3
2020.03.10	12:00:00	33.71	34.86	33.48	33.78	8232	0	3
2020.03.10	16:00:00	33.78	34.49	32.96	33.72	9532	0	3
2020.03.10	20:00:00	33.73	35.27	33.53	34.69	3938	0	3
2020.03.11	00:00:00	34.69	36.58	33.81	36.00	6118	0	3
2020.03.11	04:00:00	36.00	36.00	34.70	35.19	3457	0	3
2020.03.11	08:00:00	35.21	35.37	33.65	33.70	7355	0	3
2020.03.11	12:00:00	33.69	33.90	33.20	33.64	7117	0	3
2020.03.11	16:00:00	33.63	34.08	33.31	33.76	8534	0	3
2020.03.11	20:00:00	33.77	33.79	32.85	33.26	3733	0	3
2020.03.12	00:00:00	33.35	33.93	31.08	31.35	5258	0	3
2020.03.12	04:00:00	31.36	32.16	31.01	32.11	5290	0	3
2020.03.12	08:00:00	32.12	32.13	31.49	31.63	5750	0	3
2020.03.12	12:00:00	31.62	31.71	30.39	31.54	5602	0	3
2020.03.12	16:00:00	31.52	32.69	31.05	31.52	11290	0	3
2020.03.12	20:00:00	31.53	32.17	31.09	31.30	3394	0	3
2020.03.13	00:00:00	31.30	31.96	30.72	31.11	5026	0	3
2020.03.13	04:00:00	31.10	32.91	31.01	32.38	4732	0	3
2020.03.13	08:00:00	32.38	33.60	32.05	33.45	6526	0	3
2020.03.13	12:00:00	33.45	34.19	32.64	32.85	6069	0	3
2020.03.13	16:00:00	32.85	33.35	31.49	32.68	9292	0	3
2020.03.13	20:00:00	32.69	34.12	31.93	33.47	4877	0	3
2020.03.16	00:00:00	31.71	31.72	30.05	31.62	5488	0	3
2020.03.16	04:00:00	31.61	31.85	31.14	31.14	2408	0	7
2020.03.16	08:00:00	31.14	31.28	30.25	30.40	3909	0	3
2020.03.16	12:00:00	30.40	30.45	28.44	29.57	6057	0	3
2020.03.16	16:00:00	29.57	30.67	28.85	29.04	9118	0	3
2020.03.16	20:00:00	29.03	29.45	28.71	28.84	3455	0	3
2020.03.17	00:00:00	28.99	30.44	28.99	29.91	3427	0	3
2020.03.17	04:00:00	29.91	30.28	29.40	30.22	2926	0	3
2020.03.17	08:00:00	30.22	30.56	29.01	29.16	4122	0	3
2020.03.17	12:00:00	29.16	29.79	28.67	28.78	6290	0	3
2020.03.17	16:00:00	28.78	29.64	28.11	28.13	8113	0	3
2020.03.17	20:00:00	28.13	28.24	27.00	27.18	2655	0	3
2020.03.18	00:00:00	27.18	27.57	26.61	27.34	3861	0	3
2020.03.18	04:00:00	27.34	27.55	26.75	26.75	1515	0	6
2020.03.18	08:00:00	26.74	27.18	25.55	25.71	3423	0	3
2020.03.18	12:00:00	25.70	26.02	24.22	24.69	5678	0	3
2020.03.18	16:00:00	24.69	24.83	21.08	21.58	7561	0	3
2020.03.18	20:00:00	21.58	23.03	20.44	22.75	5656	0	3
2020.03.19	00:00:00	22.75	24.45	22.53	23.38	5234	0	3
2020.03.19	04:00:00	23.38	23.46	21.79	23.32	6147	0	3
2020.03.19	08:00:00	23.33	24.30	22.57	23.43	6399	0	3
2020.03.19	12:00:00	23.43	23.65	22.20	22.87	5815	0	3
2020.03.19	16:00:00	22.86	25.95	22.68	25.64	10237	0	3
2020.03.19	20:00:00	25.65	28.13	25.46	25.57	4085	0	3
2020.03.20	00:00:00	25.57	26.56	25.29	26.25	2746	0	3
2020.03.20	04:00:00	26.25	27.29	26.19	26.45	2924	0	4
2020.03.20	08:00:00	26.44	28.46	26.42	28.30	3945	0	3
2020.03.20	12:00:00	28.30	28.30	24.32	24.59	7632	0	3
2020.03.20	16:00:00	24.58	25.99	23.49	25.15	12260	0	3
2020.03.20	20:00:00	25.14	25.36	22.52	23.59	5271	0	3
2020.03.23	00:00:00	21.34	23.48	21.02	22.83	6548	0	3
2020.03.23	04:00:00	22.82	23.37	22.50	23.12	4427	0	3
2020.03.23	08:00:00	23.11	23.43	22.45	22.76	5947	0	3
2020.03.23	12:00:00	22.75	23.95	22.28	23.16	8014	0	3
2020.03.23	16:00:00	23.16	23.39	22.19	22.91	9406	0	3
2020.03.23	20:00:00	22.91	24.36	22.49	24.00	4075	0	3
2020.03.24	00:00:00	24.00	25.22	24.00	25.20	4059	0	3
2020.03.24	04:00:00	25.18	25.21	24.45	24.81	2879	0	3
2020.03.24	08:00:00	24.81	25.44	24.63	25.28	4522	0	3
2020.03.24	12:00:00	25.29	25.60	24.06	24.11	5489	0	3
2020.03.24	16:00:00	24.13	24.33	23.60	23.63	6118	0	3
2020.03.24	20:00:00	23.63	24.81	23.60	24.75	2581	0	3
2020.03.25	00:00:00	24.75	25.76	24.75	25.54	3305	0	3
2020.03.25	04:00:00	25.55	25.71	25.26	25.61	2570	0	3
2020.03.25	08:00:00	25.61	25.61	24.88	24.99	3679	0	3
2020.03.25	12:00:00	24.99	24.99	23.79	24.28	6388	0	3
2020.03.25	16:00:00	24.27	25.55	23.67	25.37	7169	0	3
2020.03.25	20:00:00	25.37	25.58	24.89	25.01	2764	0	3
2020.03.26	00:00:00	25.02	25.51	24.83	25.03	2585	0	3
2020.03.26	04:00:00	25.03	25.12	24.88	25.08	1769	0	15
2020.03.26	08:00:00	25.09	25.12	24.31	24.69	2878	0	3
2020.03.26	12:00:00	24.69	25.01	24.24	24.53	5063	0	2
2020.03.26	16:00:00	24.50	24.93	23.32	23.64	4633	0	3
2020.03.26	20:00:00	23.64	24.21	23.44	24.08	2383	0	3
2020.03.27	00:00:00	24.08	24.48	23.99	24.17	1765	0	3
2020.03.27	04:00:00	24.17	24.24	23.89	24.16	1148	0	3
2020.03.27	08:00:00	24.16	24.22	23.53	23.88	2835	0	2
2020.03.27	12:00:00	23.88	24.00	22.65	22.76	3550	0	2
2020.03.27	16:00:00	22.76	23.10	22.39	22.55	3981	0	3
2020.03.27	20:00:00	22.55	23.17	22.29	23.14	1938	0	3
2020.03.30	00:00:00	22.33	22.42	21.67	22.29	2129	0	3
2020.03.30	04:00:00	22.30	22.34	21.92	22.14	1146	0	3
2020.03.30	08:00:00	22.12	22.48	21.76	21.93	2383	0	2
2020.03.30	12:00:00	21.92	22.37	21.69	22.09	2658	0	2
2020.03.30	16:00:00	22.10	22.13	21.41	21.91	4171	0	3
2020.03.30	20:00:00	21.91	22.00	20.99	21.86	2641	0	3
2020.03.31	00:00:00	22.01	22.57	22.01	22.52	879	0	3
2020.03.31	04:00:00	22.52	23.55	22.49	22.97	2181	0	3
2020.03.31	08:00:00	22.97	23.27	22.69	23.00	2502	0	3
2020.03.31	12:00:00	23.01	23.67	22.61	22.90	3127	0	3
2020.03.31	16:00:00	22.89	23.02	21.99	22.08	4525	0	2
2020.03.31	20:00:00	22.07	22.77	21.76	21.95	3175	0	1
2020.04.01	00:00:00	21.94	22.81	21.94	22.78	1106	0	1
2020.04.01	04:00:00	22.78	22.78	22.17	22.53	1149	0	1
2020.04.01	08:00:00	22.53	22.67	21.99	22.16	2380	0	1
2020.04.01	12:00:00	22.16	22.75	22.06	22.25	2521	0	1
2020.04.01	16:00:00	22.27	22.59	21.85	22.12	3916	0	1
2020.04.01	20:00:00	22.12	23.04	21.99	23.03	2862	0	1
2020.04.02	00:00:00	23.02	23.17	22.54	22.76	1168	0	1
2020.04.02	04:00:00	22.76	23.26	22.68	23.20	1115	0	1
2020.04.02	08:00:00	23.20	24.38	23.12	23.92	3202	0	1
2020.04.02	12:00:00	23.92	24.37	23.85	23.99	2463	0	1
2020.04.02	16:00:00	24.00	28.70	23.54	26.77	11606	0	0
2020.04.02	20:00:00	26.77	27.04	25.19	26.29	5827	0	1
2020.04.03	00:00:00	26.29	26.69	25.39	25.94	2714	0	0
2020.04.03	04:00:00	25.92	26.30	25.45	25.72	2538	0	1
2020.04.03	08:00:00	25.72	27.56	25.51	27.02	6525	0	0
2020.04.03	12:00:00	27.03	30.04	27.03	29.41	7997	0	0
2020.04.03	16:00:00	29.41	29.69	28.07	28.70	9430	0	0
2020.04.03	20:00:00	28.69	30.70	28.46	30.36	6119	0	1
2020.04.06	00:00:00	28.00	28.88	27.06	28.73	3328	0	1
2020.04.06	04:00:00	28.72	29.65	28.58	29.50	2154	0	1
2020.04.06	08:00:00	29.51	30.25	29.32	29.54	4468	0	0
2020.04.06	12:00:00	29.55	29.89	29.16	29.31	3544	0	0
2020.04.06	16:00:00	29.30	29.78	28.48	28.91	6566	0	0
2020.04.06	20:00:00	28.91	29.19	28.50	28.91	3557	0	1
2020.04.07	00:00:00	28.91	29.79	28.91	29.67	1251	0	1
2020.04.07	04:00:00	29.68	29.97	29.60	29.86	1597	0	1
2020.04.07	08:00:00	29.85	30.02	29.47	29.70	2547	0	1
2020.04.07	12:00:00	29.71	30.31	29.25	29.66	3272	0	1
2020.04.07	16:00:00	29.66	29.71	28.80	28.89	4429	0	0
2020.04.07	20:00:00	28.90	28.95	27.04	27.92	5007	0	1
2020.04.08	00:00:00	27.92	28.79	27.88	28.64	1858	0	0
2020.04.08	04:00:00	28.65	29.00	28.58	28.83	1739	0	1
2020.04.08	08:00:00	28.84	29.12	27.94	28.24	3914	0	0
2020.04.08	12:00:00	28.25	28.42	27.81	27.89	3423	0	0
2020.04.08	16:00:00	27.89	28.96	27.88	28.06	6800	0	0
2020.04.08	20:00:00	28.06	29.88	27.86	29.67	6161	0	1
2020.04.09	00:00:00	29.67	30.26	29.62	30.03	1430	0	1
2020.04.09	04:00:00	30.03	30.05	29.36	29.54	1697	0	2
2020.04.09	08:00:00	29.56	30.36	29.54	30.04	2507	0	0
2020.04.09	12:00:00	30.04	31.04	28.40	30.23	6999	0	0
2020.04.09	16:00:00	30.24	32.20	29.13	29.70	13056	0	0
2020.04.09	20:00:00	29.69	29.93	27.47	28.01	8610	0	0
2020.04.13	00:00:00	29.26	29.54	27.25	29.44	3935	0	0
2020.04.13	04:00:00	29.43	29.72	29.05	29.09	2675	0	1
2020.04.13	08:00:00	29.09	29.11	27.47	27.96	3763	0	0
2020.04.13	12:00:00	27.97	28.40	27.56	28.18	4673	0	0
2020.04.13	16:00:00	28.19	29.24	28.10	28.62	6582	0	0
2020.04.13	20:00:00	28.62	28.77	28.14	28.33	3316	0	0
2020.04.14	00:00:00	28.33	29.24	28.33	29.11	1588	0	1
2020.04.14	04:00:00	29.11	29.26	28.99	29.15	1596	0	1
2020.04.14	08:00:00	29.15	29.21	28.20	28.32	2509	0	0
2020.04.14	12:00:00	28.32	28.66	27.67	27.89	2900	0	0
2020.04.14	16:00:00	27.89	28.18	27.14	27.32	5001	0	0
2020.04.14	20:00:00	27.32	27.33	26.57	27.29	3536	0	0
2020.04.15	00:00:00	27.29	27.77	27.18	27.40	1472	0	1
2020.04.15	04:00:00	27.39	27.44	26.95	27.35	1463	0	0
2020.04.15	08:00:00	27.35	27.40	25.73	26.43	3086	0	0
2020.04.15	12:00:00	26.42	26.46	25.71	26.21	3154	0	0
2020.04.15	16:00:00	26.20	26.54	25.51	26.03	4442	0	0
2020.04.15	20:00:00	26.03	26.51	25.61	25.97	3013	0	1
2020.04.16	00:00:00	25.97	26.97	25.97	26.88	1072	0	1
2020.04.16	04:00:00	26.89	26.97	26.53	26.57	1275	0	1
2020.04.16	08:00:00	26.61	26.87	26.32	26.82	2249	0	1
2020.04.16	12:00:00	26.82	26.87	26.25	26.35	2543	0	1
2020.04.16	16:00:00	26.35	26.45	24.92	25.05	3910	0	0
2020.04.16	20:00:00	25.06	26.16	24.92	25.95	2490	0	0
2020.04.17	00:00:00	26.70	26.96	26.27	26.82	2017	0	1
2020.04.17	04:00:00	26.81	26.93	26.53	26.66	1171	0	1
2020.04.17	08:00:00	26.65	26.72	25.47	25.72	3171	0	1
2020.04.17	12:00:00	25.72	26.55	25.07	25.16	3512	0	1
2020.04.17	16:00:00	25.15	25.90	24.83	25.43	5387	0	1
2020.04.17	20:00:00	25.43	25.54	24.81	25.47	2511	0	1
2020.04.20	00:00:00	25.14	25.34	24.30	24.30	1700	0	1
2020.04.20	04:00:00	24.30	24.49	23.15	24.09	3064	0	1
2020.04.20	08:00:00	24.08	24.35	23.40	23.40	2172	0	1
2020.04.20	12:00:00	23.40	23.74	22.39	22.60	3494	0	1
